 Count  Overhead File                    Line Function
   110         0 …vers/AdjointSolver.jl   402 solve_adjoint!(T_cal::Array{Float…
   111         0 @Base/broadcast.jl       644 _broadcast_getindex
   114         0 @Base/array.jl           849 collect_to!(dest::Vector{Float64}…
   117         0 …s/src/sparsematrix.jl  1082 sparse(I::Vector{Int64}, J::Vecto…
   119         0 @Base/array.jl           801 collect(itr::Base.Generator{Spars…
   119         0 @Base/array.jl           827 collect_to_with_first!
   121         0 @Base/array.jl          1262 push!
   121       121 @Base/array.jl          1001 __safe_setindex!
   122         0 …solvers/DHCPSolver.jl   258 assemble_dhcp_matrix(ni::Int64, n…
   127         0 …/ThermalProperties.jl   100 thermal_properties_calculator(Tem…
   127         0 …s/src/sparsematrix.jl  1080 sparse(I::Vector{Int64}, J::Vecto…
   135         0 …solvers/DHCPSolver.jl   256 assemble_dhcp_matrix(ni::Int64, n…
   135         0 @Base/boot.jl            585 Array
   137         0 …/ThermalProperties.jl    99 thermal_properties_calculator(Tem…
   137         0 @Base/array.jl           585 zeros
   142         0 …s/src/sparsematrix.jl  1259 sparse!(I::Vector{Int64}, J::Vect…
   150       150 …eArrays/src/linalg.jl     ? _spmatmul!(C::Vector{Float64}, A:…
   157         0 …vers/AdjointSolver.jl   406 solve_adjoint!(T_cal::Array{Float…
   161         0 @Base/boot.jl            591 Array
   167         1 @Base/math.jl           1199 ^
   169         0 @Base/array.jl          1261 push!
   174         0 …solvers/DHCPSolver.jl   410 solve_dhcp!(T_initial::Array{Floa…
   174         0 @Base/abstractarray.jl   820 similar
   174         0 …s/src/sparsevector.jl   218 similar
   174         0 …s/src/sparsevector.jl   201 _sparsesimilar(S::SparseArrays.Sp…
   175         0 @Base/boot.jl            535 new_as_memoryref
   179         0 …s/src/sparsematrix.jl  1081 sparse(I::Vector{Int64}, J::Vecto…
   182         0 …vers/AdjointSolver.jl   416 solve_adjoint!(T_cal::Array{Float…
   189         0 …s/src/sparsevector.jl   436 setindex!
   192         0 @Base/array.jl          1451 resize!(a::Vector{Int64}, nl_::In…
   232         0 @Base/broadcast.jl       675 _getindex
   239         0 @Base/array.jl           369 similar
   245         0 …/ThermalProperties.jl    45 polyval_numba
   249        68 …eArrays/src/linalg.jl    92 _spmatmul!(C::Vector{Float64}, A:…
   275         0 …tiveSolvers/src/cg.jl    93 iterate(it::IterativeSolvers.PCGI…
   280         0 @Base/broadcast.jl       651 _broadcast_getindex
   280         0 @Base/broadcast.jl       678 _broadcast_getindex_evalf
   288         0 @Base/broadcast.jl       674 _getindex
   289         0 @Base/broadcast.jl       650 _broadcast_getindex
   315         0 …solvers/DHCPSolver.jl   401 solve_dhcp!(T_initial::Array{Floa…
   317         0 …solvers/DHCPSolver.jl   398 solve_dhcp!(T_initial::Array{Floa…
   354         0 …tiveSolvers/src/cg.jl    86 iterate(it::IterativeSolvers.PCGI…
   391         0 @Base/broadcast.jl       610 getindex
   422         0 …tiveSolvers/src/cg.jl    94 iterate(it::IterativeSolvers.PCGI…
   445         0 @Base/broadcast.jl       973 macro expansion
   446         0 @Base/simdloop.jl         77 macro expansion
   453       453 @Base/array.jl           987 setindex!
   462         0 @Base/array.jl          1497 sizehint!
   462         0 @Base/array.jl          1524 sizehint!(a::Vector{Int64}, sz::I…
   464       464 @Base/array.jl          2354 findnext
   518         0 …vers/AdjointSolver.jl   312 assemble_adjoint_matrix(ni::Int64…
   524         0 …tiveSolvers/src/cg.jl   229 cg!(x::Vector{Float64}, A::Sparse…
   524         0 @Base/iterators.jl       205 iterate
   524         0 …tiveSolvers/src/cg.jl    74 iterate
   555       555 @Base/promotion.jl       639 ==
   609         0 @Base/simdloop.jl         78 macro expansion
   650       111 …eArrays/src/linalg.jl    91 _spmatmul!(C::Vector{Float64}, A:…
