 Count  Overhead File                    Line Function
     5         0 …vers/AdjointSolver.jl   166 build_adjoint_system!(λ_initial::…
     5         4 …tiveSolvers/src/cg.jl   232 cg!(x::Vector{Float64}, A::Sparse…
     5         0 …/ThermalProperties.jl    36 polyval_numba
     5         0 …vers/AdjointSolver.jl   291 assemble_adjoint_matrix(ni::Int64…
     5         0 …vers/AdjointSolver.jl   133 build_adjoint_system!(λ_initial::…
     5         0 …/solvers/CGMSolver.jl   328 solve_cgm!(T_init::Array{Float64,…
     5         0 …e/multidimensional.jl   929 _unsafe_getindex(::IndexLinear, :…
     5         0 …e/multidimensional.jl   948 _unsafe_getindex!
     5         0 …e/multidimensional.jl   938 macro expansion
     5         0 @Base/cartesian.jl        64 macro expansion
     5         0 …e/multidimensional.jl   940 macro expansion
     5         0 …solvers/DHCPSolver.jl   188 build_dhcp_system!(T_initial::Sub…
     5         0 …vers/AdjointSolver.jl   293 assemble_adjoint_matrix(ni::Int64…
     5         0 …solvers/DHCPSolver.jl   179 build_dhcp_system!(T_initial::Sub…
     5         0 …solvers/DHCPSolver.jl   125 build_dhcp_system!(T_initial::Sub…
     5         0 …vers/AdjointSolver.jl   264 assemble_adjoint_matrix(ni::Int64…
     5         1 …vers/AdjointSolver.jl   279 assemble_adjoint_matrix(ni::Int64…
     5         0 …vers/AdjointSolver.jl   277 assemble_adjoint_matrix(ni::Int64…
     5         0 …vers/AdjointSolver.jl   271 assemble_adjoint_matrix(ni::Int64…
     5         5 …solvers/DHCPSolver.jl     ? solve_dhcp!(T_initial::Array{Floa…
     5         0 …solvers/DHCPSolver.jl   147 build_dhcp_system!(T_initial::Sub…
     5         0 …vers/AdjointSolver.jl   307 assemble_adjoint_matrix(ni::Int64…
     5         0 …solvers/DHCPSolver.jl   434 solve_dhcp!(T_initial::Array{Floa…
     5         0 …vers/AdjointSolver.jl   278 assemble_adjoint_matrix(ni::Int64…
     6         0 …solvers/DHCPSolver.jl   289 assemble_dhcp_matrix(ni::Int64, n…
     6         0 …solvers/DHCPSolver.jl   156 build_dhcp_system!(T_initial::Sub…
     6         0 @Base/array.jl           853 collect_to!(dest::Vector{Float64}…
     6         0 …vers/AdjointSolver.jl   115 build_adjoint_system!(λ_initial::…
     6         0 …solvers/DHCPSolver.jl   140 build_dhcp_system!(T_initial::Sub…
     6         6 @Base/abstractarray.jl     ? thermal_properties_calculator(Tem…
     6         6 …s/src/sparsematrix.jl  1225 sparse!(I::Vector{Int64}, J::Vect…
     6         0 @Base/abstractarray.jl  1312 getindex
     6         0 …e/multidimensional.jl   915 _getindex
     6         0 …vers/AdjointSolver.jl   305 assemble_adjoint_matrix(ni::Int64…
     6         0 …solvers/DHCPSolver.jl   187 build_dhcp_system!(T_initial::Sub…
     6         0 …solvers/DHCPSolver.jl   263 assemble_dhcp_matrix(ni::Int64, n…
     6         0 @Base/math.jl           1205 pow_body(x::Float64, n::Int64)
     6         6 …s/src/sparsematrix.jl  1271 sparse!(I::Vector{Int64}, J::Vect…
     7         0 …solvers/DHCPSolver.jl   297 assemble_dhcp_matrix(ni::Int64, n…
     7         0 …solvers/DHCPSolver.jl   268 assemble_dhcp_matrix(ni::Int64, n…
     7         7 @Base/Base.jl             49 getproperty
     7         0 …vers/AdjointSolver.jl   158 build_adjoint_system!(λ_initial::…
     7         0 …tiveSolvers/src/cg.jl    96 iterate(it::IterativeSolvers.PCGI…
     7         0 …lgebra/src/generic.jl   602 norm
     7         0 …s/src/sparsematrix.jl  4287 diag(A::SparseArrays.SparseMatrix…
     7         0 …vers/AdjointSolver.jl   150 build_adjoint_system!(λ_initial::…
     7         0 …s/src/sparsematrix.jl  1177 sparse!(I::Vector{Int64}, J::Vect…
     7         0 …s/src/sparsevector.jl   438 setindex!
     7         0 …s/src/sparsematrix.jl  4284 diag(A::SparseArrays.SparseMatrix…
     8         0 @Base/subarray.jl        320 getindex
     8         0 …vers/AdjointSolver.jl   292 assemble_adjoint_matrix(ni::Int64…
     8         0 …solvers/DHCPSolver.jl   282 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   304 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   375 solve_dhcp!(T_initial::Array{Floa…
     8         0 @Base/array.jl           589 zeros(::Type{Float64}, dims::NTup…
     8         0 @Base/boot.jl            594 Array
     8         0 @Base/boot.jl            588 Array
     8         0 @Base/generator.jl        48 iterate
     8         8 @Base/array.jl             ? #2
     8         0 …solvers/DHCPSolver.jl   172 build_dhcp_system!(T_initial::Sub…
     8         0 …s/src/sparsematrix.jl  1266 sparse!(I::Vector{Int64}, J::Vect…
     8         0 …solvers/DHCPSolver.jl   262 assemble_dhcp_matrix(ni::Int64, n…
     8         0 …solvers/DHCPSolver.jl   276 assemble_dhcp_matrix(ni::Int64, n…
     8         8 @Base/float.jl           492 -
     8         0 …vers/AdjointSolver.jl   300 assemble_adjoint_matrix(ni::Int64…
     9         0 …solvers/DHCPSolver.jl   277 assemble_dhcp_matrix(ni::Int64, n…
     9         0 …vers/AdjointSolver.jl   286 assemble_adjoint_matrix(ni::Int64…
     9         1 …solvers/DHCPSolver.jl   284 assemble_dhcp_matrix(ni::Int64, n…
     9         1 …vers/AdjointSolver.jl   272 assemble_adjoint_matrix(ni::Int64…
     9         0 …solvers/DHCPSolver.jl   269 assemble_dhcp_matrix(ni::Int64, n…
     9         0 @Base/broadcast.jl      1001 copyto!
     9         9 @Base/math.jl              ? thermal_properties_calculator(Tem…
     9         0 …s/src/sparsematrix.jl  1267 sparse!(I::Vector{Int64}, J::Vect…
     9         0 …solvers/DHCPSolver.jl   305 assemble_dhcp_matrix(ni::Int64, n…
     9         9 @Base/essentials.jl        ? build_dhcp_system!(T_initial::Sub…
     9         0 …solvers/DHCPSolver.jl   303 assemble_dhcp_matrix(ni::Int64, n…
    10         0 …solvers/DHCPSolver.jl   290 assemble_dhcp_matrix(ni::Int64, n…
    10         0 @Base/abstractarray.jl   725 checkbounds_indices
    10         0 @Base/abstractarray.jl   754 checkindex
    10         0 @Base/boot.jl            535 new_as_memoryref
    10         0 @Base/abstractarray.jl   426 lastindex
    10        10 @Base/array.jl             ? build_adjoint_system!(λ_initial::…
    10         0 …solvers/DHCPSolver.jl   264 assemble_dhcp_matrix(ni::Int64, n…
    11         0 @Base/operators.jl       596 *
    11         0 …solvers/DHCPSolver.jl   296 assemble_dhcp_matrix(ni::Int64, n…
    11         1 …solvers/DHCPSolver.jl   291 assemble_dhcp_matrix(ni::Int64, n…
    11         0 @Base/array.jl          1114 _growend!
    11         0 …solvers/DHCPSolver.jl   438 solve_dhcp!(T_initial::Array{Floa…
    11         0 …vers/AdjointSolver.jl   136 build_adjoint_system!(λ_initial::…
    11         0 …solvers/DHCPSolver.jl   155 build_dhcp_system!(T_initial::Sub…
    11        11 …s/src/sparsematrix.jl     ? sparse!(I::Vector{Int64}, J::Vect…
    11        11 …s/src/sparsematrix.jl  1240 sparse!(I::Vector{Int64}, J::Vect…
    12         0 …solvers/DHCPSolver.jl   270 assemble_dhcp_matrix(ni::Int64, n…
    12         0 …solvers/DHCPSolver.jl   137 build_dhcp_system!(T_initial::Sub…
    12         0 @Base/abstractarray.jl   681 checkbounds
    12         0 @Base/abstractarray.jl   389 eachindex
    12         0 @Base/abstractarray.jl   137 axes1
    13        13 @Base/int.jl              86 -
    13        13 @Base/math.jl           1202 pow_body(x::Float64, n::Int64)
    13         0 @Base/subarray.jl        343 getindex
    14         0 @Base/broadcast.jl       872 materialize
    14         0 @Base/broadcast.jl       897 copy
    14         0 …solvers/DHCPSolver.jl   275 assemble_dhcp_matrix(ni::Int64, n…
    14         0 …s/src/sparsematrix.jl  1080 sparse(I::Vector{Int64}, J::Vecto…
    15         0 @Base/subarray.jl        319 getindex
    16        16 …s/src/sparsevector.jl     ? setindex!
    17         0 @Base/math.jl           1222 pow_body(x::Float64, n::Int64)
    17         0 @Base/int.jl             538 >>>
    17         0 @Base/abstractarray.jl    98 axes
    17        17 @Base/array.jl           194 size
    18         0 …solvers/DHCPSolver.jl   283 assemble_dhcp_matrix(ni::Int64, n…
    19         0 …s/src/sparsematrix.jl  1224 sparse!(I::Vector{Int64}, J::Vect…
    20         0 …solvers/DHCPSolver.jl   195 build_dhcp_system!(T_initial::Sub…
    25        25 @Base/abstractarray.jl   697 checkbounds
    26         0 @Base/array.jl           986 setindex!
    29         0 …s/src/sparsematrix.jl  4289 diag(A::SparseArrays.SparseMatrix…
    29        29 @Base/int.jl             513 <
    29        29 @Base/math.jl              ? pow_body(x::Float64, n::Int64)
    29         0 …vers/AdjointSolver.jl   117 build_adjoint_system!(λ_initial::…
    30        30 @Base/array.jl             ? build_dhcp_system!(T_initial::Sub…
    30         0 …s/src/sparsematrix.jl  4286 diag(A::SparseArrays.SparseMatrix…
    30         8 …s/src/sparsevector.jl   437 setindex!
    30         0 @Base/math.jl           1224 pow_body(x::Float64, n::Int64)
    30         0 …vers/AdjointSolver.jl   119 build_adjoint_system!(λ_initial::…
    31        12 …vers/AdjointSolver.jl   188 build_adjoint_system!(λ_initial::…
    31        31 @Base/array.jl          1112 _growend!
    31         0 …solvers/DHCPSolver.jl   121 build_dhcp_system!(T_initial::Sub…
    33         0 @Base/array.jl           367 similar
    34         0 @Base/operators.jl       634 \
    35         0 …vers/AdjointSolver.jl   416 solve_adjoint!(T_cal::Array{Float…
    35         0 …solvers/DHCPSolver.jl   122 build_dhcp_system!(T_initial::Sub…
    35         0 …vers/AdjointSolver.jl   258 assemble_adjoint_matrix(ni::Int64…
    36         0 …s/src/sparsematrix.jl  1191 sparse!(I::Vector{Int64}, J::Vect…
    36         0 @Base/math.jl           1225 pow_body(x::Float64, n::Int64)
    37        37 @Base/float.jl           494 /
    37        37 @Base/essentials.jl      796 ifelse
    40        26 @Base/abstractarray.jl   699 checkbounds
    43         0 …s/src/sparsematrix.jl  1237 sparse!(I::Vector{Int64}, J::Vect…
    44        44 @Base/essentials.jl       11 length
    45        45 …gebra/src/diagonal.jl   494 ldiv!(B::Vector{Float64}, D::Line…
    46         0 …s/src/sparsematrix.jl  1198 sparse!(I::Vector{Int64}, J::Vect…
    47         0 @Base/array.jl           929 getindex
    48         0 …vers/AdjointSolver.jl   260 assemble_adjoint_matrix(ni::Int64…
    53         0 …s/src/sparsematrix.jl  1269 sparse!(I::Vector{Int64}, J::Vect…
    53        53 @Base/sort.jl              ? searchsortedfirst
    53         0 …solvers/DHCPSolver.jl   257 assemble_dhcp_matrix(ni::Int64, n…
    67        39 …solvers/DHCPSolver.jl   192 build_dhcp_system!(T_initial::Sub…
    71         0 @Base/array.jl          2356 findnext
    71         0 @Base/abstractarray.jl   216 nextind
    72         0 …s/src/sparsematrix.jl  4288 diag(A::SparseArrays.SparseMatrix…
    73         0 …tiveSolvers/src/cg.jl   137 cg_iterator!(x::Vector{Float64}, …
    73         0 …vers/AdjointSolver.jl   403 solve_adjoint!(T_cal::Array{Float…
    76         0 …s/src/sparsematrix.jl  1195 sparse!(I::Vector{Int64}, J::Vect…
    77         0 …tiveSolvers/src/cg.jl   224 cg!(x::Vector{Float64}, A::Sparse…
    77         0 …tiveSolvers/src/cg.jl   120 cg_iterator!
    79         0 …solvers/DHCPSolver.jl   258 assemble_dhcp_matrix(ni::Int64, n…
    80         0 …s/src/sparsematrix.jl  1172 sparse!(I::Vector{Int64}, J::Vect…
    87         0 …s/src/sparsematrix.jl  1200 sparse!(I::Vector{Int64}, J::Vect…
    92         0 …s/src/sparsematrix.jl  1176 sparse!(I::Vector{Int64}, J::Vect…
    95         0 …/ThermalProperties.jl   100 thermal_properties_calculator(Tem…
    96         0 @Base/abstractarray.jl  1196 zero
    97         0 …solvers/DHCPSolver.jl   118 build_dhcp_system!(T_initial::Sub…
    98         0 …vers/AdjointSolver.jl   259 assemble_adjoint_matrix(ni::Int64…
    99         0 @Base/array.jl           796 collect(itr::Base.Generator{Spars…
    99         0 @Base/array.jl           676 _array_for
   100         0 @Base/abstractarray.jl  1209 iterate
   101         0 …s/src/sparsematrix.jl  1259 sparse!(I::Vector{Int64}, J::Vect…
   101         0 @Base/abstractarray.jl   867 similar
   101         0 @Base/abstractarray.jl   868 similar
   101         0 …solvers/DHCPSolver.jl   411 solve_dhcp!(T_initial::Array{Floa…
   101         0 @Base/abstractarray.jl   820 similar
   101         0 …s/src/sparsevector.jl   218 similar
   101         0 …s/src/sparsevector.jl   201 _sparsesimilar(S::SparseArrays.Sp…
   102       102 @Base/float.jl           491 +
   103         0 @Base/broadcast.jl       644 _broadcast_getindex
   104         0 @Base/generator.jl        45 iterate
   105         0 …s/src/sparsematrix.jl  1270 sparse!(I::Vector{Int64}, J::Vect…
   111       111 @Base/array.jl          1115 _growend!
   111         0 …solvers/DHCPSolver.jl   256 assemble_dhcp_matrix(ni::Int64, n…
   112         0 @Base/array.jl           849 collect_to!(dest::Vector{Float64}…
   115         0 …solvers/DHCPSolver.jl   410 solve_dhcp!(T_initial::Array{Floa…
   119         0 @Base/array.jl           801 collect(itr::Base.Generator{Spars…
   119         0 @Base/array.jl           827 collect_to_with_first!
